
📺 CCTV,#genre#
求索动物,http://zteres.sn.chinamobile.com:6060/000000001000/6000000002000010046/index.m3u8?channel-id=wasusyt&Contentid=6000000002000010046&livemode=1&stbId=3
求索生活,http://zteres.sn.chinamobile.com:6060/000000001000/6000000002000003382/index.m3u8?channel-id=wasusyt&Contentid=6000000002000003382&livemode=1&stbId=3
求索纪录,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000032052/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032052&livemode=1&stbId=3
求索动物,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000010046/index.m3u8?channel-id=wasusyt&Contentid=6000000002000010046&livemode=1&stbId=3
求索科学,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000032344/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032344&livemode=1&stbId=3
求索生活,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000003382/index.m3u8?channel-id=wasusyt&Contentid=6000000002000003382&livemode=1&stbId=3
爱上4K,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000459/index.m3u8?IAS
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8


📺  IPTV,#genre#
都市剧场,http://192.168.123.1:4000/udp/239.253.224.98:8000
都市剧场,http://192.168.123.1:4000/udp/239.253.224.178:8000
精彩影视,http://192.168.123.1:4000/udp/239.253.224.142:8000
乐游,http://192.168.123.1:4000/udp/239.253.224.97:8000
纪实人文,http://192.168.123.1:4000/udp/239.253.224.120:8000
生活时尚,http://192.168.123.1:4000/udp/239.253.224.99:8000
法治天地,http://192.168.123.1:4000/udp/239.253.224.96:8000
金色学堂,http://192.168.123.1:4000/udp/239.253.224.101:8000
东方财经,http://192.168.123.1:4000/udp/239.253.224.94:8000
游戏风云,http://192.168.123.1:4000/udp/239.253.224.95:8000
动漫秀场,http://192.168.123.1:4000/udp/239.253.224.115:8000
魅力足球,http://192.168.123.1:4000/udp/239.253.224.100:8000
四海钓鱼,http://192.168.123.1:4000/udp/239.253.224.118:8000
先锋乒羽,http://192.168.123.1:4000/udp/239.253.224.155:8000
茶频道,http://192.168.123.1:4000/udp/239.253.224.143:8000
快乐垂钓,http://192.168.123.1:4000/udp/239.253.224.144:8000
先锋乒羽,http://192.168.123.1:4000/udp/239.253.224.145:8000
书画频道,http://192.168.123.1:4000/udp/239.253.224.146:8000
财富天下,http://192.168.123.1:4000/udp/239.253.224.147:8000
家庭理财,http://192.168.123.1:4000/udp/239.253.224.148:8000
新动漫,http://192.168.123.1:4000/udp/239.253.224.149:8000
新动漫,http://192.168.123.1:4000/udp/239.253.224.157:8000
发现之旅,http://192.168.123.1:4000/udp/239.253.224.162:8000
中学生,http://192.168.123.1:4000/udp/239.253.224.163:8000
老故事,http://192.168.123.1:4000/udp/239.253.224.164:8000
环球旅游,http://192.168.123.1:4000/udp/239.253.224.71:8000
优优宝贝,http://192.168.123.1:4000/udp/239.253.224.72:8000
车迷频道,http://192.168.123.1:4000/udp/239.253.224.73:8000
生态环境,http://192.168.123.1:4000/udp/239.253.224.75:8000
中华特产,http://192.168.123.1:4000/udp/239.253.224.76:8000
IPTV5,http://192.168.123.1:4000/udp/239.253.224.109:8000
IPTV3,http://192.168.123.1:4000/udp/239.253.224.124:8000
IPTV电视剧,http://192.168.123.1:4000/udp/239.253.224.125:8000
IPTV电影,http://192.168.123.1:4000/udp/239.253.224.126:8000
IPTV电影2,http://192.168.123.1:4000/udp/239.253.224.127:8000
IPTV电影3,http://192.168.123.1:4000/udp/239.253.224.128:8000
IPTV综艺,http://192.168.123.1:4000/udp/239.253.224.129:8000
IPTV电影4,http://192.168.123.1:4000/udp/239.253.224.130:8000
IPTV体育,http://192.168.123.1:4000/udp/239.253.224.131:8000
IPTV电视剧2,http://192.168.123.1:4000/udp/239.253.224.132:8000
IPTV电视剧3,http://192.168.123.1:4000/udp/239.253.224.135:8000
IPTV综艺2,http://192.168.123.1:4000/udp/239.253.224.136:8000
IPTV科教,http://192.168.123.1:4000/udp/239.253.224.137:8000
IPTV法制,http://192.168.123.1:4000/udp/239.253.224.138:8000
财富天下,http://192.168.123.1:4000/udp/239.253.224.230:8000
IPTV 201,http://192.168.123.1:4000/udp/239.253.224.201:8000
IPTV 202,http://192.168.123.1:4000/udp/239.253.224.202:8000
IPTV 203,http://192.168.123.1:4000/udp/239.253.224.203:8000
IPTV 204,http://192.168.123.1:4000/udp/239.253.224.204:8000
