🌐  CCTV,#genre#
山东经济广播,http://10.26.0.23:4000/udp/239.253.254.166:8000
生态环境标清,http://10.26.0.23:4000/udp/239.253.254.75:8000

🌐  电影,#genre#
精选电影,http://10.26.0.23:4000/udp/239.253.254.210:8000
爱电影,http://10.26.0.23:4000/udp/239.253.254.128:8000
经典电影,http://10.26.0.23:4000/udp/239.253.254.126:8000
红色影院,http://10.26.0.23:4000/udp/239.253.254.209:8000
星影,http://10.26.0.23:4000/udp/239.253.254.216:8000
喜剧影院,http://10.26.0.23:4000/udp/239.253.254.220:8000
动作影院,http://10.26.0.23:4000/udp/239.253.254.221:8000
家庭电影,http://10.26.0.23:4000/udp/239.253.254.218:8000
光影,http://10.26.0.23:4000/udp/239.253.254.223:8000
野外,http://10.26.0.23:4000/udp/239.253.254.137:8000
音乐现场,http://10.26.0.23:4000/udp/239.253.254.202:8000
爱综艺,http://10.26.0.23:4000/udp/239.253.254.129:8000
重温经典影视,http://10.26.0.23:4000/udp/239.253.254.81:8000
经典剧场,http://10.26.0.23:4000/udp/239.253.254.211:8000
武侠剧场,http://10.26.0.23:4000/udp/239.253.254.212:8000
相声小品,http://10.26.0.23:4000/udp/239.253.254.136:8000
法制,http://10.26.0.23:4000/udp/239.253.254.138:8000
爱体育,http://10.26.0.23:4000/udp/239.253.254.109:8000
爱体育,http://10.26.0.23:4000/udp/239.253.254.131:8000
爱大剧,http://10.26.0.23:4000/udp/239.253.254.132:8000
谍战剧场,http://10.26.0.23:4000/udp/239.253.254.135:8000
军旅剧场,http://10.26.0.23:4000/udp/239.253.254.203:8000
古装剧场,http://10.26.0.23:4000/udp/239.253.254.205:8000
收视指南,http://10.26.0.23:4000/udp/239.253.254.124:8000
热播剧场,http://10.26.0.23:4000/udp/239.253.254.125:8000
城市剧场,http://10.26.0.23:4000/udp/239.253.254.201:8000
足球,http://10.26.0.23:4000/udp/239.253.254.204:8000
军事,http://10.26.0.23:4000/udp/239.253.254.207:8000
地理,http://10.26.0.23:4000/udp/239.253.254.208:8000
美人,http://10.26.0.23:4000/udp/239.253.254.213:8000
鉴赏,http://10.26.0.23:4000/udp/239.253.254.214:8000
国学,http://10.26.0.23:4000/udp/239.253.254.215:8000
墨宝,http://10.26.0.23:4000/udp/239.253.254.222:8000
戏曲,http://10.26.0.23:4000/udp/239.253.254.224:8000
爱生活,http://10.26.0.23:4000/udp/239.253.254.225:8000
解密,http://10.26.0.23:4000/udp/239.253.254.226:8000
武术,http://10.26.0.23:4000/udp/239.253.254.227:8000
美妆,http://10.26.0.23:4000/udp/239.253.254.228:8000


🌏  烟台,#genre#
长岛,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00001090/index.m3u8
蓬莱,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00001088/index.m3u8
龙口,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00001005/index.m3u8
招远,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00001113/index.m3u8
栖霞,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00001055/index.m3u8
牟平,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00001076/index.m3u8
牟平生活,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00001077/index.m3u8
烟台新闻综合,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00000280/index.m3u8
烟台经济科技,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00000282/index.m3u8
烟台影视,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00000283/index.m3u8
